complaint_id,fraud_type,transaction_amount,transaction_count,complaint_count,location,latitude,longitude,location_risk,withdrawal_distance,withdrawal_hour,previous_cases,hotspot
CP-00001,Online Shopping Fraud,15092,1,9,Kolhapur,16.705,74.2433,0.24,7.41,3,2,0
CP-00002,Online Shopping Fraud,4665,1,3,Nashik,19.9975,73.7898,0.22,25.52,0,6,0
CP-00003,Investment Fraud,29393,8,19,Nashik,19.9975,73.7898,0.28,43.53,5,13,0
CP-00004,Online Shopping Fraud,20879,4,11,Nagpur,21.1458,79.0882,0.1,19.31,11,11,0
CP-00005,Online Shopping Fraud,6195,12,15,Nagpur,21.1458,79.0882,0.54,48.67,12,2,0
CP-00006,Investment Fraud,82897,10,12,Nagpur,21.1458,79.0882,0.58,35.38,1,7,1
CP-00007,Investment Fraud,31012,14,4,Pune,18.5204,73.8567,0.38,22.94,11,5,0
CP-00008,Online Shopping Fraud,27960,11,9,Nagpur,21.1458,79.0882,0.7,34.34,2,5,1
CP-00009,Investment Fraud,32587,3,15,Kolhapur,16.705,74.2433,0.38,49.48,20,7,0
CP-00010,Online Shopping Fraud,7831,4,2,Aurangabad,19.8762,75.3433,0.81,20.36,2,6,0
CP-00011,Investment Fraud,41745,4,16,Kolhapur,16.705,74.2433,0.4,45.77,14,4,0
CP-00012,Investment Fraud,32825,12,18,Mumbai,19.076,72.8777,0.54,37.48,13,12,1
CP-00013,Phishing,18631,9,16,Mumbai,19.076,72.8777,0.09,2.83,3,4,0
CP-00014,Online Shopping Fraud,89692,7,20,Aurangabad,19.8762,75.3433,0.06,19.39,14,8,0
CP-00015,UPI Fraud,2004,11,4,Aurangabad,19.8762,75.3433,0.68,27.08,8,10,0
CP-00016,Online Shopping Fraud,57485,3,15,Nagpur,21.1458,79.0882,0.0,36.24,23,8,0
CP-00017,Phishing,23916,9,4,Aurangabad,19.8762,75.3433,0.87,15.27,20,6,0
CP-00018,UPI Fraud,21674,9,17,Nagpur,21.1458,79.0882,0.92,30.15,15,0,1
CP-00019,Identity Theft,40806,4,2,Nagpur,21.1458,79.0882,0.24,28.58,2,2,0
CP-00020,Investment Fraud,9571,13,18,Aurangabad,19.8762,75.3433,0.77,6.86,15,5,1
CP-00021,Investment Fraud,80007,7,7,Thane,19.2183,72.9781,0.93,37.89,22,6,0
